Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link_1211_evt2,-0.205219826588883,-0.00319066223054669,0.00930572474901213,0,0,0,5.32413170017573,0.077068959488456,0.000327924057164089,0.00212118306880777,0.0890185263360713,-0.000178878545674747,0.157749815446039,0,0,0,0,0,0,package://urdf简化装配体1211.SLDASM/meshes/base_link_1211_evt2.STL,0.584313725490196,0.701960784313725,0,1,0,0,0,0,0,0,package://urdf简化装配体1211.SLDASM/meshes/base_link_1211_evt2.STL,,mobile base 1211urdf-1,pt-base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
caster yaw-u,-0.0129501147037586,9.62750396166388E-05,-0.0233043343307543,0,0,0,0.0281386444271825,2.31034366246215E-05,-5.16494313749424E-08,6.28016538890743E-06,2.27519928541068E-05,-8.54639506616855E-08,2.2118323644151E-05,0,0,0,0,0,0,package://urdf简化装配体1211.SLDASM/meshes/caster yaw-u.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf简化装配体1211.SLDASM/meshes/caster yaw-u.STL,,caster base 1211urdf-1,pt-cater yaw,ax-caster yaw,jt-caster yaw,continuous,-0.385,0,-0.0012,0,0,0,base_link_1211_evt2,0,0,-1,,,,,,,,,,,,
caster wheel-u,-3.46552371799369E-08,-3.9582331067948E-10,2.04728648270369E-08,0,0,0,0.158596757595477,7.1429488863188E-05,-4.53302765489401E-12,7.79431964293285E-11,0.000105900102876324,-2.18628395674214E-12,7.14294622318801E-05,0,0,0,0,0,0,package://urdf简化装配体1211.SLDASM/meshes/caster wheel-u.STL,0.192156862745098,0.176470588235294,1,1,0,0,0,0,0,0,package://urdf简化装配体1211.SLDASM/meshes/caster wheel-u.STL,,caster wheel 1211urdf-1,pt-cater wheel,ax-caster rotate,jt-caster rotate,continuous,-0.032,0,-0.0548,0,0,0,caster yaw-u,0,-1,0,,,,,,,,,,,,
right wheel-u,1.70257413224837E-05,-0.0452825834663686,1.78571751600683E-05,0,0,0,3.12432363443419,0.00733898514589799,2.84709041202681E-08,3.42683479649129E-07,0.0135458543457778,1.88570775937042E-06,0.00734161892644889,0,0,0,0,0,0,package://urdf简化装配体1211.SLDASM/meshes/right wheel-u.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf简化装配体1211.SLDASM/meshes/right wheel-u.STL,,right wheel 1211urdf-1/本末M1502D-额定转速115rpm-额定转矩9.6Nm-2.3kg-1,pt-right wheel,ax-right wheel,jt-right wheel,continuous,0,-0.15224,0,0,0,0,base_link_1211_evt2,0,-1,0,,,,,,,,,,,,
left wheel-u,-1.70235268312915E-05,0.0452825841164715,1.78558407655708E-05,0,0,0,3.1243237213127,0.00733898527717443,2.86530880823481E-08,-3.4282417915535E-07,0.0135458547434033,-1.88581084544857E-06,0.00734161928610971,0,0,0,0,0,0,package://urdf简化装配体1211.SLDASM/meshes/left wheel-u.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf简化装配体1211.SLDASM/meshes/left wheel-u.STL,,left wheel 1211urdf-1/本末M1502D-额定转速115rpm-额定转矩9.6Nm-2.3kg-1,pt-left wheel,ax-left wheel,jt-left wheel,continuous,0,0.15224,0,0,0,0,base_link_1211_evt2,0,1,0,,,,,,,,,,,,
right s10 camera-u,-0.0193750931985582,0.00178564972364571,1.98475055750245E-05,0,0,0,0.0843756764925001,6.46106458428726E-05,4.34932818364867E-07,2.34262539121985E-09,8.86110260105309E-06,5.10274240213728E-09,6.04881588853569E-05,0,0,0,0,0,0,package://urdf简化装配体1211.SLDASM/meshes/right s10 camera-u.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://urdf简化装配体1211.SLDASM/meshes/right s10 camera-u.STL,,S10 camera right 1211urdf-1,pt-right s10 camera,Axis_jt-right s10 camera,jt-right s10 camera,fixed,0.0854499999999999,-0.1245,-0.012,0,0,0,base_link_1211_evt2,0,0,0,,,,,,,,,,,,
left s10 camera-u,-0.0193750931985582,-0.00178564972364573,-1.98475055750158E-05,0,0,0,0.0843756764925001,6.46106458428725E-05,-4.34932818364862E-07,-2.34262539122401E-09,8.8611026010531E-06,5.10274240213598E-09,6.04881588853568E-05,0,0,0,0,0,0,package://urdf简化装配体1211.SLDASM/meshes/left s10 camera-u.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://urdf简化装配体1211.SLDASM/meshes/left s10 camera-u.STL,,S10 camera left 1211urdf-1,pt-left s10 camera,,jt-left s10 camera-u,fixed,0.08545,0.1245,-0.012,0,0,0,base_link_1211_evt2,0,0,0,,,,,,,,,,,,
lower leg-u,0.002271028452796,0.0466715145561337,0.211545614238825,0,0,0,3.04109217978147,0.0553928569794445,-1.66431569298422E-05,-1.79970554795093E-05,0.0585723622890167,-0.000301744475753265,0.00354433038253933,0,0,0,0,0,0,package://urdf简化装配体1211.SLDASM/meshes/lower leg-u.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://urdf简化装配体1211.SLDASM/meshes/lower leg-u.STL,,lower leg 1211urdf-1,pt-lower leg,ax-ankle joint,jt-ankle,revolute,-0.2,-0.0453,0.0275,0,0,0,base_link_1211_evt2,0,-1,0,0,0,0,0,,,,,,,,
upper leg-u,0.00897832581669258,-0.0356025389051581,0.227376644146869,0,0,0,4.43682542121962,0.0735747532706167,-2.35931553225244E-06,6.49665780501134E-05,0.0784506798575518,-0.000842894229728947,0.00566071753069115,0,0,0,0,0,0,package://urdf简化装配体1211.SLDASM/meshes/upper leg-u.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://urdf简化装配体1211.SLDASM/meshes/upper leg-u.STL,,upper leg 1211urdf-1,pt-upper leg,ax-knee joint,jt-knee,revolute,0,0.0856,0.434,0,0,0,lower leg-u,0,1,0,0,0,0,0,,,,,,,,
waist pitch,-0.0420070314111673,0.0428332861415177,0.0830909996428791,0,0,0,2.26301728385751,0.00496622900150261,1.82218696141319E-05,-6.90812251657797E-05,0.00482936154365453,-0.000219635180470962,0.00530276052695341,0,0,0,0,0,0,package://urdf简化装配体1211.SLDASM/meshes/waist pitch.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://urdf简化装配体1211.SLDASM/meshes/waist pitch.STL,,waist pitch 1211urdf-1,pt-waist pitch,ax-hip joint,jt-hip,revolute,0,-0.0806,0.4222,0,0,0,upper leg-u,0,-1,0,0,0,0,0,,,,,,,,
