time(s),left_wheel_vel(rad/s),right_wheel_vel(rad/s),base_vx(m/s),base_omega_z(rad/s),ankle_pos(rad),ankle_pos(deg),ankle_vel(rad/s),ankle_acc(rad/s²),ankle_torque(Nm),knee_pos(rad),knee_pos(deg),knee_vel(rad/s),knee_acc(rad/s²),knee_torque(Nm),hip_pos(rad),hip_pos(deg),hip_vel(rad/s),hip_acc(rad/s²),hip_torque(Nm),waist_roll_pos(rad),waist_roll_pos(deg),waist_roll_vel(rad/s),waist_roll_acc(rad/s²),waist_roll_torque(Nm),waist_yaw_pos(rad),waist_yaw_pos(deg),waist_yaw_vel(rad/s),waist_yaw_acc(rad/s²),waist_yaw_torque(Nm)
0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000000,-77.875062,-0.000000,0.000000,0.000,0.000000,-166.537356,0.265011,0.000000,0.000,0.000000,-69.370724,-0.000895,0.000000,0.000,0.000000,-0.042784,-0.000000,0.000000,0.000,0.000000,-0.012642,21.346403
0.0100,9.066033,9.066035,0.021351,0.006555,-0.007788,-0.446,-0.778751,5.622034,0.000000,-0.016654,-0.954,-1.665374,-1.313541,1.014875,-0.006937,-0.397,-0.693707,3.017013,-0.001344,-0.000004,-0.000,-0.000428,-0.107555,-0.000000,-0.000001,-0.000,-0.000126,0.011971,0.003675
0.0200,9.067719,9.067721,0.073260,0.016675,-0.015013,-0.860,-0.722530,3.944744,0.000000,-0.033439,-1.916,-1.678509,0.678623,0.871008,-0.013572,-0.778,-0.663537,1.069781,-0.001196,-0.000019,-0.001,-0.001503,-0.001668,-0.000000,-0.000001,-0.000,-0.000007,0.004031,-0.000426
0.0300,9.067739,9.067740,0.102064,0.025339,-0.021844,-1.252,-0.683083,2.497176,0.000000,-0.050156,-2.874,-1.671723,1.560114,0.742602,-0.020101,-1.152,-0.652839,0.704468,-0.001017,-0.000035,-0.002,-0.001520,0.000919,-0.000000,-0.000001,-0.000,0.000034,0.002313,-0.000522
0.0400,9.067767,9.067768,0.116075,0.032721,-0.028425,-1.629,-0.658111,1.609188,-0.000000,-0.066717,-3.823,-1.656122,2.073273,0.630699,-0.026559,-1.522,-0.645795,0.498154,-0.000848,-0.000050,-0.003,-0.001511,0.000652,-0.000000,-0.000000,-0.000,0.000057,0.001319,-0.000574
0.0500,9.067804,9.067805,0.121107,0.038972,-0.034845,-1.996,-0.642019,1.071001,-0.000000,-0.083071,-4.760,-1.635389,2.362014,0.534237,-0.032967,-1.889,-0.640813,0.382724,-0.000701,-0.000065,-0.004,-0.001504,0.000396,-0.000000,0.000000,0.000,0.000070,0.000729,-0.000599
0.0600,9.067849,9.067850,0.120763,0.044243,-0.041158,-2.358,-0.631309,0.749000,-0.000000,-0.099189,-5.683,-1.611769,2.512753,0.451532,-0.039337,-2.254,-0.636986,0.322748,-0.000576,-0.000080,-0.005,-0.001500,0.000221,-0.000000,0.000001,0.000,0.000077,0.000380,-0.000606
0.0700,9.067904,9.067905,0.117270,0.048672,-0.047396,-2.716,-0.623819,0.560300,-0.000000,-0.115055,-6.592,-1.586641,2.579004,0.380774,-0.045674,-2.617,-0.633758,0.296357,-0.000471,-0.000095,-0.005,-0.001498,0.000113,-0.000000,0.000002,0.000,0.000081,0.000178,-0.000601
0.0800,9.067968,9.067968,0.112001,0.052383,-0.053578,-3.070,-0.618216,0.453516,-0.000000,-0.130664,-7.486,-1.560851,2.593907,0.320241,-0.051982,-2.978,-0.630795,0.290032,-0.000384,-0.000110,-0.006,-0.001497,0.000054,-0.000000,0.000003,0.000,0.000083,0.000062,-0.000586
0.0900,9.068040,9.068041,0.105799,0.055481,-0.059715,-3.421,-0.613681,0.396809,0.000000,-0.146013,-8.366,-1.534912,2.577965,0.268388,-0.058261,-3.338,-0.627894,0.295427,-0.000310,-0.000125,-0.007,-0.001497,0.000034,-0.000000,0.000004,0.000,0.000083,-0.000002,-0.000563
0.1000,9.068122,9.068122,0.099178,0.058057,-0.065812,-3.771,-0.609713,0.370465,-0.000000,-0.161104,-9.231,-1.509132,2.543853,0.223867,-0.064511,-3.696,-0.624940,0.307406,-0.000249,-0.000140,-0.008,-0.001496,0.000042,-0.000000,0.000004,0.000,0.000083,-0.000036,-0.000534
0.1100,9.068213,9.068213,0.092449,0.060187,-0.071872,-4.118,-0.606008,0.362291,0.000000,-0.175941,-10.081,-1.483694,2.499387,0.185525,-0.070729,-4.052,-0.621866,0.322822,-0.000198,-0.000155,-0.009,-0.001496,0.000072,-0.000000,0.000005,0.000,0.000083,-0.000053,-0.000499
0.1200,9.068312,9.068313,0.085797,0.061934,-0.077896,-4.463,-0.602385,0.364760,-0.000000,-0.190528,-10.916,-1.458700,2.449371,0.152386,-0.076916,-4.407,-0.618638,0.339758,-0.000154,-0.000169,-0.010,-0.001495,0.000119,-0.000000,0.000006,0.000,0.000083,-0.000060,-0.000458
0.1300,9.068421,9.068421,0.079330,0.063352,-0.083884,-4.806,-0.598738,0.373238,0.000000,-0.204870,-11.738,-1.434206,2.396747,0.123627,-0.083068,-4.759,-0.615240,0.357059,-0.000118,-0.000184,-0.011,-0.001494,0.000180,-0.000000,0.000007,0.000,0.000082,-0.000063,-0.000411
0.1400,9.068539,9.068539,0.073108,0.064487,-0.089834,-5.147,-0.595005,0.384885,0.000000,-0.218973,-12.546,-1.410239,2.343300,0.098557,-0.089185,-5.110,-0.611670,0.374041,-0.000087,-0.000199,-0.011,-0.001492,0.000251,-0.000000,0.000008,0.000,0.000081,-0.000064,-0.000359
0.1500,9.068666,9.068666,0.067159,0.065377,-0.095745,-5.486,-0.591157,0.397970,0.000000,-0.232841,-13.341,-1.386806,2.290101,0.076598,-0.095264,-5.458,-0.607929,0.390312,-0.000061,-0.000214,-0.012,-0.001490,0.000331,-0.000000,0.000008,0.000,0.000081,-0.000064,-0.000302
0.1600,9.068802,9.068802,0.061497,0.066053,-0.101617,-5.822,-0.587177,0.411450,-0.000000,-0.246480,-14.122,-1.363905,2.237778,0.057266,-0.101304,-5.804,-0.604026,0.405658,-0.000038,-0.000229,-0.013,-0.001486,0.000417,-0.000000,0.000009,0.001,0.000080,-0.000064,-0.000240
0.1700,9.068947,9.068947,0.056123,0.066541,-0.107448,-6.156,-0.583062,0.424709,0.000000,-0.259895,-14.891,-1.341527,2.186687,0.040156,-0.107304,-6.148,-0.599970,0.419974,-0.000019,-0.000244,-0.014,-0.001482,0.000509,-0.000000,0.000010,0.001,0.000079,-0.000064,-0.000173
