time(s),segment,left_wheel_vel(rad/s),right_wheel_vel(rad/s),base_vx(m/s),base_omega_z(rad/s),ankle_pos(rad),ankle_pos(deg),ankle_vel(rad/s),ankle_acc(rad/s²),ankle_torque(Nm),knee_pos(rad),knee_pos(deg),knee_vel(rad/s),knee_acc(rad/s²),knee_torque(Nm),hip_pos(rad),hip_pos(deg),hip_vel(rad/s),hip_acc(rad/s²),hip_torque(Nm),waist_roll_pos(rad),waist_roll_pos(deg),waist_roll_vel(rad/s),waist_roll_acc(rad/s²),waist_roll_torque(Nm),waist_yaw_pos(rad),waist_yaw_pos(deg),waist_yaw_vel(rad/s),waist_yaw_acc(rad/s²),waist_yaw_torque(Nm)
0.0000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000000,-7.768307,-0.000000,0.000000,0.000,0.000000,-17.925534,-0.008301,0.000000,0.000,0.000000,-8.268121,-0.000043,0.000000,0.000,0.000000,-0.000371,-0.000000,0.000000,0.000,0.000000,-0.002025,25.021804
0.0100,0,10.627028,10.627028,0.005532,0.000272,-0.000777,-0.045,-0.077683,0.753317,0.000000,-0.001793,-0.103,-0.179255,-0.176515,-0.005685,-0.000827,-0.047,-0.082681,0.217029,0.000012,-0.000000,-0.000,-0.000004,0.000202,-0.000000,-0.000000,-0.000,-0.000020,0.000591,0.004103
0.0200,0,10.629002,10.629002,0.012034,0.000202,-0.001478,-0.085,-0.070150,0.470813,-0.000000,-0.003603,-0.206,-0.181020,0.018075,-0.003067,-0.001632,-0.094,-0.080511,0.126362,0.000006,-0.000000,-0.000,-0.000002,0.000141,-0.000000,-0.000000,-0.000,-0.000014,0.000556,-0.000559
0.0300,0,10.629024,10.629024,0.015542,0.000165,-0.002133,-0.122,-0.065442,0.290091,-0.000000,-0.005411,-0.310,-0.180840,0.128154,-0.001497,-0.002424,-0.139,-0.079247,0.081770,0.000002,-0.000000,-0.000,-0.000000,0.000082,-0.000000,-0.000000,-0.000,-0.000009,0.000346,-0.000586
0.0400,0,10.629056,10.629056,0.017205,0.000147,-0.002758,-0.158,-0.062541,0.179493,0.000000,-0.007207,-0.413,-0.179558,0.192988,-0.000553,-0.003209,-0.184,-0.078430,0.055718,0.000000,-0.000000,-0.000,0.000001,0.000046,-0.000000,-0.000000,-0.000,-0.000005,0.000215,-0.000599
0.0500,0,10.629098,10.629098,0.017748,0.000141,-0.003366,-0.193,-0.060746,0.112341,-0.000000,-0.008983,-0.515,-0.177628,0.229930,0.000019,-0.003987,-0.228,-0.077872,0.040968,-0.000001,-0.000000,-0.000,0.000001,0.000024,-0.000000,-0.000001,-0.000,-0.000003,0.000133,-0.000602
0.0600,0,10.629151,10.629151,0.017616,0.000142,-0.003962,-0.227,-0.059623,0.072040,0.000000,-0.010736,-0.615,-0.175329,0.249698,0.000375,-0.004762,-0.273,-0.077463,0.033132,-0.000002,-0.000000,-0.000,0.000001,0.000010,-0.000000,-0.000001,-0.000,-0.000002,0.000083,-0.000596
0.0700,0,10.629215,10.629215,0.017087,0.000145,-0.004551,-0.261,-0.058902,0.048303,-0.000000,-0.012465,-0.714,-0.172832,0.258935,0.000609,-0.005533,-0.317,-0.077131,0.029495,-0.000002,-0.000000,-0.000,0.000001,0.000002,-0.000000,-0.000001,-0.000,-0.000001,0.000052,-0.000580
0.0800,0,10.629290,10.629290,0.016330,0.000151,-0.005135,-0.294,-0.058419,0.034753,-0.000000,-0.014167,-0.812,-0.170243,0.261755,0.000777,-0.006302,-0.361,-0.076836,0.028376,-0.000002,-0.000000,-0.000,0.000001,-0.000003,-0.000000,-0.000001,-0.000,-0.000001,0.000032,-0.000555
0.0900,0,10.629375,10.629375,0.015449,0.000157,-0.005716,-0.327,-0.058072,0.027439,-0.000000,-0.015843,-0.908,-0.167625,0.260704,0.000915,-0.007067,-0.405,-0.076553,0.028740,-0.000002,0.000000,0.000,0.000001,-0.000006,-0.000000,-0.000001,-0.000,-0.000000,0.000020,-0.000522
0.1000,0,10.629470,10.629470,0.014510,0.000162,-0.006294,-0.361,-0.057797,0.023916,0.000000,-0.017493,-1.002,-0.165018,0.257355,0.001040,-0.007830,-0.449,-0.076265,0.029947,-0.000002,0.000000,0.000,0.000001,-0.000008,-0.000000,-0.000001,-0.000,0.000000,0.000013,-0.000480
0.1100,0,10.629577,10.629577,0.013550,0.000167,-0.006869,-0.394,-0.057558,0.022672,-0.000000,-0.019118,-1.095,-0.162445,0.252681,0.001164,-0.008590,-0.492,-0.075966,0.031606,-0.000002,0.000000,0.000,0.000001,-0.000009,-0.000000,-0.000001,-0.000,0.000000,0.000008,-0.000430
0.1200,0,10.629693,10.629693,0.012592,0.000172,-0.007443,-0.426,-0.057331,0.022772,0.000000,-0.020717,-1.187,-0.159918,0.247278,0.001293,-0.009346,-0.535,-0.075650,0.033477,-0.000002,0.000000,0.000,0.000001,-0.000010,-0.000000,-0.000001,-0.000,0.000000,0.000006,-0.000372
0.1300,0,10.629821,10.629821,0.011651,0.000175,-0.008014,-0.459,-0.057104,0.023640,-0.000000,-0.022292,-1.277,-0.157445,0.241513,0.001427,-0.010099,-0.579,-0.075315,0.035417,-0.000002,0.000000,0.000,0.000001,-0.000010,-0.000000,-0.000001,-0.000,0.000000,0.000004,-0.000306
0.1400,0,10.629959,10.629959,0.010733,0.000177,-0.008582,-0.492,-0.056867,0.024924,-0.000000,-0.023842,-1.366,-0.155030,0.235608,0.001568,-0.010849,-0.622,-0.074961,0.037340,-0.000002,0.000000,0.000,0.000001,-0.000011,-0.000000,-0.000001,-0.000,0.000000,0.000003,-0.000234
0.1500,0,10.630108,10.630108,0.009842,0.000179,-0.009149,-0.524,-0.056618,0.026408,-0.000000,-0.025369,-1.454,-0.152674,0.229697,0.001714,-0.011595,-0.664,-0.074587,0.039196,-0.000002,0.000000,0.000,0.000001,-0.000011,-0.000000,-0.000001,-0.000,0.000000,0.000002,-0.000155
0.1600,0,10.630267,10.630267,0.008981,0.000180,-0.009712,-0.556,-0.056354,0.027963,-0.000000,-0.026872,-1.540,-0.150377,0.223858,0.001863,-0.012337,-0.707,-0.074195,0.040958,-0.000001,0.000000,0.000,0.000001,-0.000011,-0.000000,-0.000001,-0.000,0.000000,0.000002,-0.000070
0.1700,0,10.630438,10.630437,0.008150,0.000180,-0.010273,-0.589,-0.056074,0.029509,-0.000000,-0.028354,-1.625,-0.148138,0.218138,0.002014,-0.013075,-0.749,-0.073786,0.042611,-0.000001,0.000000,0.000,0.000001,-0.000011,-0.000000,-0.000001,-0.000,0.000000,0.000002,0.000021
0.1800,0,10.630618,10.630618,0.007347,0.000179,-0.010831,-0.621,-0.055779,0.031004,0.000000,-0.029813,-1.708,-0.145957,0.212561,0.002163,-0.013808,-0.791,-0.073360,0.044151,-0.000001,0.000000,0.000,0.000000,-0.000011,-0.000000,-0.000001,-0.000,0.000000,0.000002,0.000116
